# Combining / zero-width code point ranges
# Unicode 15.0.0, DerivedCoreProperties.txt + PropList.txt (2022-09-13)
# Source: https://unicode.org/Public/15.0.0/ucd/
#
# These ranges are compiled into src/layout.cpp:k_combining[].
# Includes General_Category: Mn (Non_Spacing_Mark), Me (Enclosing_Mark),
# and selected Cf (Format) characters that are zero-width in terminal display.
# Format: U+XXXX..U+YYYY   # comment

U+102D..U+1030     # Myanmar vowel signs (Mn)
U+1032..U+1037     # Myanmar signs (Mn)
U+1039..U+103A     # Myanmar signs (Mn)
U+103D..U+103E     # Myanmar signs (Mn)
U+1058..U+1059     # Myanmar vowel signs (Mn)
U+105E..U+1060     # Myanmar consonant signs (Mn)
U+1071..U+1074     # Myanmar vowel signs (Mn)
U+1082             # Myanmar consonant sign (Mn)
U+1085..U+1086     # Myanmar vowel signs (Mn)
U+108D             # Myanmar sign shan council emphatic tone (Mn)
U+109D             # Myanmar vowel sign aiton ai (Mn)
U+135D..U+135F     # Ethiopic combining gemination and vowel length marks (Mn)
U+1712..U+1714     # Tagalog combining (Mn)
U+1732..U+1733     # Hanunoo combining (Mn)
U+1752..U+1753     # Buhid combining (Mn)
U+1772..U+1773     # Tagbanwa combining (Mn)
U+17B4..U+17B5     # Khmer independent vowel signs (Mn)
U+17B7..U+17BD     # Khmer vowel signs (Mn)
U+17C6             # Khmer sign nikahit (Mn)
U+17C9..U+17D3     # Khmer signs (Mn)
U+17DD             # Khmer sign atthacan (Mn)
U+180B..U+180D     # Mongolian free variation selectors (Mn)
U+180F             # Mongolian free variation selector four (Mn)
U+1885..U+1886     # Mongolian letter todo combining (Mn)
U+18A9             # Mongolian letter ali gali dagalga (Mn)
U+1920..U+1922     # Limbu vowel signs (Mn)
U+1927..U+1928     # Limbu signs (Mn)
U+1932             # Limbu small letter anusvara (Mn)
U+1939..U+193B     # Limbu signs (Mn)
U+1A17..U+1A18     # Buginese vowel signs (Mn)
U+1A1B             # Buginese vowel sign ae (Mn)
U+1A56             # Tai Tham combining vowel sign (Mn)
U+1A58..U+1A5E     # Tai Tham signs (Mn)
U+1A60             # Tai Tham sign sakot (Mn)
U+1A62             # Tai Tham vowel sign mai sat (Mn)
U+1A65..U+1A6C     # Tai Tham vowel signs (Mn)
U+1A73..U+1A7C     # Tai Tham signs (Mn)
U+1A7F             # Tai Tham combining cryptogrammic dot (Mn)
U+1AB0..U+1ACE     # Combining Diacritical Marks Extended (Mn)
U+1B00..U+1B03     # Balinese signs (Mn)
U+1B34             # Balinese sign rerekan (Mn)
U+1B36..U+1B3A     # Balinese vowel signs (Mn)
U+1B3C             # Balinese vowel sign la lenga (Mn)
U+1B42             # Balinese vowel sign pepet (Mn)
U+1B6B..U+1B73     # Balinese musical symbols (Mn)
U+1B80..U+1B81     # Sundanese signs (Mn)
U+1BA2..U+1BA5     # Batak vowel signs (Mn)
U+1BA8..U+1BA9     # Batak vowel signs (Mn)
U+1BAB..U+1BAD     # Batak signs (Mn)
U+1BE6             # Batak sign tompi (Mn)
U+1BE8..U+1BE9     # Batak vowel signs (Mn)
U+1BED             # Batak vowel sign karo O (Mn)
U+1BEF..U+1BF1     # Batak consonant signs (Mn)
U+1C2C..U+1C33     # Lepcha vowel signs (Mn)
U+1C36..U+1C37     # Lepcha signs (Mn)
U+1CD0..U+1CD2     # Vedic extensions (Mn)
U+1CD4..U+1CE0     # Vedic extensions (Mn)
U+1CE2..U+1CE8     # Vedic extensions (Mn)
U+1CED             # Vedic sign tiryak (Mn)
U+1CF4             # Vedic tone candra above (Mn)
U+1CF8..U+1CF9     # Vedic tones (Mn)
U+1DC0..U+1DFF     # Combining Diacritical Marks Supplement (Mn)
U+200B..U+200D     # ZERO WIDTH SPACE, ZWNJ, ZWJ (Cf, zero-width)
U+202A..U+202E     # Bidi controls LRE/RLE/PDF/LRO/RLO (Cf, zero-width)
U+2060..U+2064     # Word Joiner and invisible operators (Cf)
U+206A..U+206F     # Deprecated formatting characters (Cf)
U+20D0..U+20F0     # Combining Diacritical Marks for Symbols (Mn/Me)
U+2CEF..U+2CF1     # Coptic combining (Mn)
U+2D7F             # Tifinagh consonant joiner (Mn)
U+2DE0..U+2DFF     # Combining Cyrillic Supplement (Mn)
U+302A..U+302D     # CJK combining tones/marks (Mn)
U+3099..U+309A     # Combining katakana-hiragana voiced/semi-voiced (Mn)
U+A66F..U+A672     # Combining Cyrillic (Mn/Me)
U+A674..U+A67D     # Combining Cyrillic (Mn)
U+A69E..U+A69F     # Combining Cyrillic (Mn)
U+A6F0..U+A6F1     # Bamum combining (Mn)
U+A802             # Syloti Nagri sign dvisvara (Mn)
U+A806             # Syloti Nagri sign hasanta (Mn)
U+A80B             # Syloti Nagri sign anusvara (Mn)
U+A825..U+A826     # Saurashtra vowel signs (Mn)
U+A82C             # Saurashtra sign fina (Mn)
U+A8C4..U+A8C5     # Saurashtra signs (Mn)
U+A8E0..U+A8F1     # Devanagari Extended combining (Mn)
U+A8FF             # Devanagari vowel sign AY (Mn)
U+A926..U+A92D     # Kayah Li tones/vowels (Mn)
U+A947..U+A951     # Rejang vowel signs (Mn)
U+A980..U+A982     # Javanese signs (Mn)
U+A9B3             # Javanese sign cecak telu (Mn)
U+A9B6..U+A9B9     # Javanese vowel signs (Mn)
U+A9BC..U+A9BD     # Javanese vowel signs (Mn)
U+A9E5             # Myanmar Extended-B sign shan saw (Mn)
U+AA29..U+AA2E     # Cham vowel signs (Mn)
U+AA31..U+AA32     # Cham vowel signs (Mn)
U+AA35..U+AA36     # Cham consonant signs (Mn)
U+AA43             # Cham consonant sign final ng (Mn)
U+AA4C             # Cham consonant sign final m (Mn)
U+AA7C             # Myanmar Extended-A sign tai laing tone-2 (Mn)
U+AAB0             # Tai Viet mai kang (Mn)
U+AAB2..U+AAB4     # Tai Viet vowels (Mn)
U+AAB7..U+AAB8     # Tai Viet mai (Mn)
U+AABE..U+AABF     # Tai Viet signs (Mn)
U+AAC1             # Tai Viet tone mai tho (Mn)
U+AAEC..U+AAED     # Meetei Mayek vowel signs (Mn)
U+AAF6             # Meetei Mayek virama (Mn)
U+ABE5             # Meetei Mayek vowel sign E (Mn)
U+ABE8             # Meetei Mayek vowel sign O (Mn)
U+ABED             # Meetei Mayek apun iyek (Mn)
U+FB1E             # Hebrew point judeo-spanish varika (Mn)
U+FE00..U+FE0F     # Variation Selectors VS1–VS16 (Mn)
U+FE20..U+FE2F     # Combining Half Marks (Mn)
U+FEFF             # BOM / Zero-Width No-Break Space (Cf)
U+101FD            # Phaistos Disc combining (Mn)
U+102E0            # Coptic Epact combining (Mn)
U+10376..U+1037A   # Old Permic combining (Mn)
U+10A01..U+10A03   # Kharoshthi vowels (Mn)
U+10A05..U+10A06   # Kharoshthi vowels (Mn)
U+10A0C..U+10A0F   # Kharoshthi signs (Mn)
U+10A38..U+10A3A   # Kharoshthi combining (Mn)
U+10A3F            # Kharoshthi virama (Mn)
U+10AE5..U+10AE6   # Manichaean combining (Mn)
U+10D24..U+10D27   # Hanifi Rohingya combining (Mn)
U+10EAB..U+10EAC   # Yezidi combining (Mn)
U+10EFD..U+10EFF   # Arabic Extended-C combining (Mn)
U+10F46..U+10F50   # Sogdian combining (Mn)
U+10F82..U+10F85   # Old Uyghur combining (Mn)
U+11001            # Brahmi sign anusvara (Mn)
U+11038..U+11046   # Brahmi vowel/sign (Mn)
U+11070            # Brahmi sign old Tamil virama (Mn)
U+11073..U+11074   # Brahmi combining (Mn)
U+1107F..U+11081   # Kaithi signs (Mn)
U+110B3..U+110B6   # Kaithi vowel signs (Mn)
U+110B9..U+110BA   # Kaithi signs (Mn)
U+110C2            # Kaithi vowel sign vocalic R (Mn)
U+11100..U+11102   # Chakma combining (Mn)
U+11127..U+1112B   # Chakma vowel signs (Mn)
U+1112D..U+11134   # Chakma signs (Mn)
U+11173            # Mahajani sign nukta (Mn)
U+11180..U+11181   # Sharada signs (Mn)
U+111B6..U+111BE   # Sharada vowel signs (Mn)
U+111C9..U+111CC   # Sharada signs (Mn)
U+111CF            # Sharada sign inverted candrabindu (Mn)
U+1122F..U+11231   # Khojki vowel signs (Mn)
U+11234            # Khojki sign anusvara (Mn)
U+11236..U+11237   # Khojki signs (Mn)
U+1123E            # Khojki sign sukun (Mn)
U+11241            # Khojki vowel sign vocalic R (Mn)
U+112DF            # Khudawadi sign anusvara (Mn)
U+112E3..U+112EA   # Khudawadi vowel/signs (Mn)
U+11300..U+11301   # Grantha signs (Mn)
U+1133B..U+1133C   # Grantha combining (Mn)
U+11340            # Grantha vowel sign II (Mn)
U+11366..U+1136C   # Grantha combining (Mn)
U+11370..U+11374   # Grantha combining (Mn)
U+11438..U+1143F   # Newa vowel signs (Mn)
U+11442..U+11444   # Newa signs (Mn)
U+11446            # Newa sign nukta (Mn)
U+1145E            # Newa sandhi mark (Mn)
U+114B3..U+114B8   # Tirhuta vowel signs (Mn)
U+114BA            # Tirhuta vowel sign short E (Mn)
U+114BF..U+114C0   # Tirhuta signs (Mn)
U+114C2..U+114C3   # Tirhuta signs (Mn)
U+115B2..U+115B5   # Siddham vowel signs (Mn)
U+115BC..U+115BD   # Siddham signs (Mn)
U+115BF..U+115C0   # Siddham signs (Mn)
U+115DC..U+115DD   # Siddham vowel signs (Mn)
U+11633..U+1163A   # Modi vowel signs (Mn)
U+1163D            # Modi sign anusvara (Mn)
U+1163F..U+11640   # Modi signs (Mn)
U+116AB            # Takri sign anusvara (Mn)
U+116AD            # Takri vowel sign AA (Mn)
U+116B0..U+116B5   # Takri vowel signs (Mn)
U+116B7            # Takri sign nukta (Mn)
U+1171D..U+1171F   # Ahom consonant signs (Mn)
U+11722..U+11725   # Ahom vowel signs (Mn)
U+11727..U+1172B   # Ahom signs (Mn)
U+1182F..U+11837   # Dogra vowel signs (Mn)
U+11839..U+1183A   # Dogra signs (Mn)
U+1193B..U+1193C   # Dives Akuru combining (Mn)
U+1193E            # Dives Akuru virama (Mn)
U+11943            # Dives Akuru sign nukta (Mn)
U+119D4..U+119D7   # Nandinagari vowel signs (Mn)
U+119DA..U+119DB   # Nandinagari signs (Mn)
U+119E0            # Nandinagari sign virama (Mn)
U+11A01..U+11A0A   # Zanabazar Square vowel signs (Mn)
U+11A33..U+11A38   # Zanabazar Square signs (Mn)
U+11A3B..U+11A3E   # Zanabazar Square cluster-final (Mn)
U+11A47            # Zanabazar Square subjoiner (Mn)
U+11A51..U+11A56   # Soyombo vowel signs (Mn)
U+11A59..U+11A5B   # Soyombo signs (Mn)
U+11A8A..U+11A96   # Pau Cin Hau vowel signs (Mn)
U+11A98..U+11A99   # Pau Cin Hau signs (Mn)
U+11C30..U+11C36   # Bhaiksuki vowel signs (Mn)
U+11C38..U+11C3D   # Bhaiksuki signs (Mn)
U+11C3F            # Bhaiksuki sign virama (Mn)
U+11C92..U+11CA7   # Marchen combining (Mn)
U+11CAA..U+11CB0   # Marchen vowel signs (Mn)
U+11CB2..U+11CB3   # Marchen signs (Mn)
U+11CB5..U+11CB6   # Marchen signs (Mn)
U+11D31..U+11D36   # Masaram Gondi vowel signs (Mn)
U+11D3A            # Masaram Gondi vowel sign E (Mn)
U+11D3C..U+11D3D   # Masaram Gondi vowel signs (Mn)
U+11D3F..U+11D45   # Masaram Gondi signs (Mn)
U+11D47            # Masaram Gondi repha (Mn)
U+11D90..U+11D91   # Gunjala Gondi vowel signs (Mn)
U+11D95            # Gunjala Gondi sign anusvara (Mn)
U+11D97            # Gunjala Gondi virama (Mn)
U+11EF3..U+11EF4   # Makasar vowel signs (Mn)
U+11F00..U+11F01   # Kawi signs (Mn) [Unicode 15.0]
U+11F36..U+11F3A   # Kawi vowel signs (Mn) [Unicode 15.0]
U+11F40            # Kawi vowel sign EU (Mn) [Unicode 15.0]
U+11F42            # Kawi conjoiner (Mn) [Unicode 15.0]
U+13440            # Egyptian Hieroglyph combining enclosure (Mn)
U+13447..U+13455   # Egyptian Hieroglyph combining (Mn)
U+16AF0..U+16AF4   # Bassa Vah combining (Mn)
U+16B30..U+16B36   # Pahawh Hmong combining (Mn)
U+16F4F            # Miao sign consonant modifier bar (Mn)
U+16F8F..U+16F92   # Miao tones (Mn)
U+16FE4            # Khitan Small Script filler (Mn)
U+1BC9D..U+1BC9E   # Duployan combining (Mn)
U+1CF00..U+1CF2D   # Znamenny combining marks (Mn)
U+1CF30..U+1CF46   # Znamenny combining marks (Mn)
U+1D167..U+1D169   # Musical combining stems (Mn)
U+1D17B..U+1D182   # Musical combining (Mn)
U+1D185..U+1D18B   # Musical combining (Mn)
U+1D1AA..U+1D1AD   # Musical combining (Mn)
U+1D242..U+1D244   # Combining Greek Musical Symbols (Mn)
U+1DA00..U+1DA36   # Sutton SignWriting (Mn)
U+1DA3B..U+1DA6C   # Sutton SignWriting (Mn)
U+1DA75            # Sutton SignWriting (Mn)
U+1DA84            # Sutton SignWriting (Mn)
U+1DA9B..U+1DA9F   # Sutton SignWriting (Mn)
U+1DAA1..U+1DAAF   # Sutton SignWriting (Mn)
U+1E000..U+1E006   # Glagolitic combining (Mn)
U+1E008..U+1E018   # Glagolitic combining (Mn)
U+1E01B..U+1E021   # Glagolitic combining (Mn)
U+1E023..U+1E024   # Glagolitic combining (Mn)
U+1E026..U+1E02A   # Glagolitic combining (Mn)
U+1E08F            # Combining Cyrillic Small Letter Byelorussian-Ukrainian I (Mn) [Unicode 15.0]
U+1E130..U+1E136   # Nyiakeng Puachue Hmong tones (Mn)
U+1E2AE            # Toto sign rising tone (Mn)
U+1E2EC..U+1E2EF   # Wancho tones (Mn)
U+1E4EC..U+1E4EF   # Nag Mundari combining (Mn) [Unicode 15.0]
U+1E8D0..U+1E8D6   # Mende Kikakui combining (Mn)
U+1E944..U+1E94A   # Adlam combining (Mn)
U+1F3FB..U+1F3FF   # Emoji Modifier Fitzpatrick Type 1-2 through 6 (GCB=Extend, UAX #29)
U+E0001            # LANGUAGE TAG (Cf, deprecated)
U+E0020..U+E007F   # Tag characters (Cf)
U+E0100..U+E01EF   # Variation Selectors Supplement VS17–VS256 (Mn)
